title,siglum,century,provenance,srclink,cursus,num_century
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 050 (olim Caixa 279, nº 9)",P-BRad Pasta 050,12th century,,https://pemdatabase.eu/source/47205,,12
E-PAMan (Pamplona) Partitura n. 232,E-PAMan Partitura n. 232,16th century,,https://musicahispanica.eu/source/127830,,16
E-PAMan (Pamplona) Partitura n. 264,E-PAMan Partitura n. 264,16th century,,https://musicahispanica.eu/source/128055,,16
"SK-KRE (Kremnica) Graduale Tom. 2, Fons 42, Fasc. 1, Nro. 9, 1604","SK-KRE Tom. 2, Fons 42, Fasc. 1, Nro. 9, 1604",15th century,Bohemia,https://cantus.sk/source/32581,,15
E-TAha (Tarragona) Ms. 20/13,E-TAha Ms. 20/13,12th century,"Capafonts, Baix Camp (Tarragona)",https://musicahispanica.eu/source/111131,,12
SK-KE (Kežmarok) Graduale 8299,SK-KE (Kežmarok) sign. 8299,15th century,Hungary (Spiš region),https://cantus.sk/source/31670,,15
A-Wn : Cod 1609,A-Wn Cod 1609,10th century,"Freising, Domkapitel",http://musmed.eu/source/15044,,10
"SK-KRE (Kremnica) Missale Tom. 1 Fons. 31 Fasc. 2 Nro 104, 1610","SK-KRE Tom. 1 Fons. 31 Fasc. 2 Nro 104, 1610",15th century,Germany (OCist),https://cantus.sk/source/32569,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0231",CDN-Mrb MS Medieval 0231,15th century,Italy,https://cantusdatabase.org/source/693792,,15
E-PAMan (Pamplona) Partitura n. 249,E-PAMan Partitura n. 249,16th century,,https://musicahispanica.eu/source/127951,,16
E-PAMan (Pamplona) Partitura n. 265,E-PAMan Partitura n. 265,16th century,,https://musicahispanica.eu/source/128058,,16
SK-BSa (Banská Štiavnica) Protocollum No.inv.284 1614-1615,SK-BSa 284,15th century,Slovakia,https://cantus.sk/source/63,,15
"E-VI (Vic) Ms. 122, ff. 11 y 12 (olim 5391)","E-VI Ms. 122, ff. 11 y 12 (olim 5391)",13th century,,https://musicahispanica.eu/source/129122,,13
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 001",P-BRad Pasta 001,12th - 13th century,,https://pemdatabase.eu/source/46533,,12
A-KN CCl 1018 Graduale (Fragm.),A-KN CCl 1018,12th century,Klosterneuburg,https://austriamanus.org/source/3620,,12
SK-KRE (Kremnica) Graduale 1624–1625,SK-KRE 1624–1625,15th century,Bohemia,https://cantus.sk/source/32067,,15
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (20),P-Cug MM 1063 (20),early 13th century?,,https://pemdatabase.eu/source/97173,,13
E-SAh (Salamanca) Frg. 15,E-SAh Frg. 15,16th century,Salamanca,https://musicahispanica.eu/source/128967,,16
F-Pn : Lat. 5387,F-Pn Lat. 5387,11th century,Sud-Ouest de la France,http://musmed.eu/source/13177,,11
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 100",P-BRad Pasta 100,12th - 13th century,,https://pemdatabase.eu/source/47210,,12
A-KN Fragm. 003 Graduale,A-KN Fragm. 3,,Austria/Germany,https://austriamanus.org/source/6,,
D-As : 2° Cod 157,D-As 2° Cod 157,11th century,Italie du Nord,http://musmed.eu/source/97767,,11
P-Cm (Coimbra) Biblioteca Municipal B13-19,P-Cm B13-19,16th century,,https://pemdatabase.eu/source/118897,,16
"E-VI (Vic) Ms. 122, f. 16 (olim 5391)","E-VI Ms. 122, f. 16 (olim 5391)",13th century,,https://musicahispanica.eu/source/22965,,13
F-RS : Ms 1267,F-RS Ms 1267,10th century,Chapitre de la cathédrale de Reims,http://musmed.eu/source/14126,,10
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 046 (olim Caixa 285, nº 9)",P-BRad Pasta 046,13th century,,https://pemdatabase.eu/source/47203,,13
SK-BJ (Bardejov) Missale MMBJ 1782,SK-BJ (Bardejov) MMBJ 1782,15th century,Hungary,https://cantus.sk/source/29816,,15
"SK-KRE (Kremnica) Graduale Tom. 1, Fons 41, Fasc. 5, Nro. 90, 1596","SK-KRE Tom. 1, Fons 41, Fasc. 5, Nro. 90, 1596",15th century,medieval Hungary,https://cantus.sk/source/32528,,15
P-Cua (Coimbra) Arquivo Distrital e da Universidade III-1ªD-3-5-040,P-Cua III-1ªD-3-5-040,14th century,,https://pemdatabase.eu/source/96681,,14
SK-KE (Kežmarok) Graduale 66949,SK-KE (Kežmarok) sign. 66949,15th century,Germany,https://cantus.sk/source/31686,,15
SK-KRE (Kremnica) Copier buech 1627–1628,SK-KRE Copier buech 1627–1628,15th century,medieval Hungary (OSPPE),https://cantus.sk/source/32319,,15
F-CO : Ms 0317 (232),F-CO Ms 0317 (232),14th century,Couvent des Dominicaines d'Unterlinden de Colmar.,http://musmed.eu/source/9482,,14
SK-BRnm (Bratislava) MUS XVIII 667,SK-BRnm MUS XVIII 667,14th century,Slovakia,https://cantus.sk/source/221,,14
SK-BRsa Graduale Scepusiense Protoc. XIX Anni 1616-1619,SK-BRsa Spis 1616,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13832,,15
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 002",P-BRad Pasta 002,12th - 13th century,,https://pemdatabase.eu/source/46550,,12
"P-EVp (Évora) Biblioteca Pública Pasta 3, doc. 005","P-EVp Pasta 3, doc. 005",16th century (1st half),,https://pemdatabase.eu/source/101269,,16
E-Bbc (Barcelona) M 1408-3,E-Bbc M 1408-3,09th century,,https://musicahispanica.eu/source/78401,,9
SK-Brl (Bratislava) M 2910,SK-BRl M2910,15th century,Bohemia,https://cantus.sk/source/4992,,15
"SK-KREm (Kremnica) Graduale Varia, G 123","SK-KREm Graduale Varia, G 123",13th century,Western Europe,https://cantus.sk/source/32554,,13
SK-KE (Kežmarok) Graduale 655,SK-KE (Kežmarok) sign. 655,15th century,Monastic,https://cantus.sk/source/31658,,15
"E-VI (Vic) Ms. 123, f. 9 (olim 5392)","E-VI Ms. 123, f. 9 (olim 5392)",12th century,,https://musicahispanica.eu/source/22971,,12
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0065",CDN-Mrb MS Medieval 0065,14th century (2nd half),Italy,https://cantusdatabase.org/source/693507,,14
E-PAMan (Pamplona) Partitura n. 258,E-PAMan Partitura n. 258,16th century,,https://musicahispanica.eu/source/128012,,16
SK-BSa (Banská Štiavnica) Protocollum No.inv.329 1674,SK-BSa 329,15th century,Slovakia,https://cantus.sk/source/71,,15
SK-BJ (Bardejov) Missale MMBJ 1785,SK-BJ (Bardejov) MMBJ 1785,15th century,Hungary,https://cantus.sk/source/29815,,15
SK-BRsa Kre Cx XXIV,SK-BRsa Cx XXIV,13th century,Austria,https://cantus.sk/source/13688,,13
A-KN Fragm. 250 Missale,A-KN Fragm. 250,13th century,Vienna,https://austriamanus.org/source/59,,13
F-ME : Ms 732 bis (Pièce 01),F-ME Ms 732 bis (Pièce 01),13th century,Zone de Metz,http://musmed.eu/source/21656,,13
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 016 (olim Caixa 240, nº 12)",P-BRad Pasta 016,12th century,,https://pemdatabase.eu/source/47073,,12
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 108 (olim Caixa 279, nº 5)",P-BRad Pasta 108,12th century,,https://pemdatabase.eu/source/47215,,12
SK-KO (Košice) Graduale H III/2 mac 12,SK-KO (Košice) H III/2 mac 12,15th century,"Slovakia (medieval Hungary) - Spiš, Šariš",https://cantus.sk/source/30727,,15
"College Park (USA), University of Maryland - Michelle Smith Performing Arts Library, s.n.",US-CPpa s.n.,16th century (1st half),,https://cantusdatabase.org/source/1000076,,16
I-Bc : Q 03 (Fr 001),I-Bc Q 03 (Fr 001),12th century,Italie,http://musmed.eu/source/32991,,12
SK-BRu (Bratislava) Ms 1336,SK-BRu Ms1336,14th century,Central Europe (Poland),https://cantus.sk/source/5693,,14
E-PAMan (Pamplona) Partitura n. 295,E-PAMan Partitura n. 295,16th century,,https://musicahispanica.eu/source/128245,,16
SK-BSa (Banská Štiavnica) Protocollum No.inv.286 1616-1618,SK-BSa 286,15th century,Slovakia,https://cantus.sk/source/65,,15
P-Cua (Coimbra) Arquivo Distrital e da Universidade III-1ªD-3-1-47 + III-1ªD-3-1-48,P-Cua III-1ªD-3-1-47 + III-1ªD-3-1-48,16th century,,https://pemdatabase.eu/source/119010,,16
A-KN Fragm. 326 Graduale,A-KN Fragm. 326,16th century,Klosterneuburg,https://austriamanus.org/source/68,,16
P-Pad (Porto) Arquivo Distrital NOT/CNPRT01/001/0112,P-Pad NOT/CNPRT01/001/0112,15th century,,https://pemdatabase.eu/source/72457,,15
V-CVbav : Reg.lat.0215,V-CVbav Reg.lat.0215,9th century,Abbaye de Fleury,http://musmed.eu/source/93528,,9
A-KN CCl 0440 Missale (Fragm.),A-KN CCl. 440,11th century,Austria/Germany,https://austriamanus.org/source/3699,,11
A-KN Fragm. 109 Graduale,A-KN Fragm. 109,14th century,Austria,https://austriamanus.org/source/47,,14
A-KN Fragm. 110 Graduale,A-KN Fragm. 110,14th century,Austria,https://austriamanus.org/source/48,,14
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 0019,P-Cug MM 0019,15th century,,https://pemdatabase.eu/source/61351,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0086",CDN-Mrb MS Medieval 0086,17th century,,https://cantusdatabase.org/source/693548,,17
"E-VI (Vic) Ms. 123, ff. 10 y 11 (olim 5392)","E-VI Ms. 123, ff. 10 y 11 (olim 5392)",13th century,Vic,https://musicahispanica.eu/source/22972,,13
NL-Uu : Hs. 0063,NL-Uu Hs. 0063,14th century,Utrecht,http://musmed.eu/source/144305,,14
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (48),P-Cug MM 1063 (48),early 15th century?,England?,https://pemdatabase.eu/source/98963,,15
SK-BRu (Bratislava) Ms 1333,SK-BRu Ms1333,15th century,Central Europe,https://cantus.sk/source/5685,,15
SK-Brl (Bratislava) BB 34,SK-BRl BB34,14th century,Central Europe,https://cantus.sk/source/4996,,14
SK-BSa (Banská Štiavnica) Protocollum No.inv.326 1671,SK-BSa 326,15th century,Slovakia,https://cantus.sk/source/68,,15
E-PAMan (Pamplona) Partitura n. 260,E-PAMan Partitura n. 260,16th century,,https://musicahispanica.eu/source/128029,,16
E-PAMan (Pamplona) Partitura n. 293,E-PAMan Partitura n. 293,16th century,,https://musicahispanica.eu/source/128237,,16
SK-BSa (Banská Štiavnica) Protocollum No.inv.336 1683-1684,SK-BSa 336,15th century,Slovakia,https://cantus.sk/source/77,,15
E-PAMan (Pamplona) Partitura n. 251,E-PAMan Partitura n. 251,16th century,,https://musicahispanica.eu/source/127959,,16
E-PAMan (Pamplona) Partitura n. 257,E-PAMan Partitura n. 257,16th century,,https://musicahispanica.eu/source/128009,,16
SK-BSa (Banská Štiavnica) Protocollum No.inv.285 1615,SK-BSa 285,15th century,Slovakia,https://cantus.sk/source/64,,15
"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 2 MISSALE Sign. K0000/07118, HK 07118/I",SK-BEt K0000/07118,15th century,Germany or Poland,https://cantus.sk/source/29068,,15
"California, Private collections, D:0xpcp",Cantus D:0xpcp,15th century,,https://cantusdatabase.org/source/674961,,15
A-KN CCl 0736 Graduale (Fragm.),A-KN CCl 736,12th century,Austria/Germany,https://austriamanus.org/source/5082,,12
E-PAMan (Pamplona) Partitura n. 237,E-PAMan Partitura n. 237,16th century,,https://musicahispanica.eu/source/127856,,16
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0186",CDN-Mrb MS Medieval 0186,14th century,Italy,https://cantusdatabase.org/source/693636,,14
SK-KO (Košice) Missale H III/2 mac 21,SK-KO (Košice) H III/2 mac 21,14th century,medieval Hungary (Eastern Slovakia: Spiš),https://cantus.sk/source/31046,,14
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 107 (olim Caixa 287, nº 5)",P-BRad Pasta 107,12th century,,https://pemdatabase.eu/source/47214,,12
E-PAMan (Pamplona) partitura n. 12 olim 1/13,E-PAMan partitura n. 12 olim 1/13,12th century,,https://musicahispanica.eu/source/94855,,12
SK-BRsa Graduale Scepusiense Protoc. XVII Anni 1615-1616,SK-BRsa Spis 1615,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13831,,15
F-AN : Ms 0457,F-AN Ms 0457,11th century,St Aubin d'Angers,http://musmed.eu/source/8469,,11
F-AS : Ms 0735 (cat. 682),F-AS Ms 0735 (cat. 682),10th century,Abbaye Saint Vaast d'Arras,http://musmed.eu/source/57890,,10
"SK-KRE (Kremnica) Graduale Tom. 2, Fons 23, Fasc. 2, Nro. 60, 1615","SK-KRE Tom. 2, Fons 23, Fasc. 2, Nro. 60, 1615",15th century,medieval Hungary,https://cantus.sk/source/32567,,15
SK-KRE (Kremnica) Graduale Wein Ungeldt 1625,SK-KRE 1625,15th century,Bohemia,https://cantus.sk/source/32224,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0217",CDN-Mrb MS Medieval 0217,15th century,,https://cantusdatabase.org/source/693732,,15
V-CVbav : Vat. lat. 5775,V-CVbav Vat. lat. 5775,9th century,Italie,http://musmed.eu/source/75229,,9
SK-KE (Kežmarok) Graduale 69152,SK-KE (Kežmarok) sign. 69152,15th century,Hungary (Spiš region),https://cantus.sk/source/31688,,15
P-Pad (Porto) Arquivo Distrital NOT/CNPRT01/001/0113,P-Pad NOT/CNPRT01/001/0113,15th century,,https://pemdatabase.eu/source/72462,,15
SK-BSa (Banská Štiavnica) Protocollum No.inv.332 1677-1678,SK-BSa 332,15th century,Slovakia,https://cantus.sk/source/74,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0204",CDN-Mrb MS Medieval 0204,15th century,,https://cantusdatabase.org/source/693642,,15
"SK-KRE (Kremnica) Graduale Tom. 1, Fons 36, Fasc. 14, Nro. ?, 1596","SK-KRE Tom. 1, Fons 36, Fasc. 14, Nro. ?, 1596",15th century,medieval Hungary,https://cantus.sk/source/32483,,15
A-KN Fragm. 436,A-KN Fragm. 436,14th century,Germany,https://austriamanus.org/source/104,,14
SK-KOs (Košice) Graduale RMK 174 PA,SK-KOs RMK 174 PA,15th century,Central Europe / Slovakia,https://cantus.sk/source/10443,,15
E-PAMan (Pamplona) partitura n. 99,E-PAMan partitura n. 99,12th century,,https://musicahispanica.eu/source/97879,,12
SK-Brl (Bratislava) Frag. 2,SK-BRl Frag. 2,14th century,Germany,https://cantus.sk/source/4451,,14
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0208",CDN-Mrb MS Medieval 0208,13th century,,https://cantusdatabase.org/source/693660,,13
SK-MO (Modra) Magistrát mesta Modry 4446 Küchenrechnung - Ansager Register 1644,SK-MO 4446,15th century,Slovakia,https://cantus.sk/source/176,,15
SK-Brl (Bratislava) BF 116,SK-BRl BF116,15th century,Central Europe (Slovakia),https://cantus.sk/source/5004,,15
SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 7 GRADUALE Sign. K0000/07995,SK-BEt K0000/07995,15th century,cursus Monasticus,https://cantus.sk/source/29073,,15
SK-MO (Modra) Magistrát mesta Modry 3127 II.4.68.322. Kammerrechnung 1675,SK-MO 3127,15th century,Transylvania-Várad,https://cantus.sk/source/165,,15
E-PAMan (Pamplona) Partitura n. 248,E-PAMan Partitura n. 248,16th century,,https://musicahispanica.eu/source/127947,,16
E-PAMan (Pamplona) Partitura n. 272,E-PAMan Partitura n. 272,16th century,,https://musicahispanica.eu/source/128099,,16
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (72),P-Cug MM 1063 (72),14th century,,https://pemdatabase.eu/source/46511,,14
"SK-KRE (Kremnica) Missale Tom. 1, Fons 41, Fasc. 2, Nro. 26, 1565","SK-KRE Tom. 1, Fons 41, Fasc. 2, Nro. 26, 1565",13th century,OCist,https://cantus.sk/source/32503,,13
"Quito, Iglesia de San Francisco - Archivo, 4",EC-Qsf 4,17th century,Franciscan,https://cantusdatabase.org/source/672452,Secular,17
F-A : Ms 0188,F-A Ms 0188,14th century,Célestins de Gentilly (dioc. d’Avignon),http://musmed.eu/source/71204,,14
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 0050 [capa] + MM 0051 [capa] + MM 0234,P-Cug MM 0050 [capa] + MM 0051 [capa] + MM 0234,16th century,,https://pemdatabase.eu/source/96768,,16
Cz-Pak (Praha) Cim 7,Cim 7,14th century,Prague (?),https://cantusbohemiae.cz/source/9138,,14
F-BSM : Ms 0046,F-BSM Ms 0046,12th century,Abbaye Saint Bertin,http://musmed.eu/source/24163,,12
F-SOM : Ms 0775,F-SOM Ms 0775,12th century,abbaye Saint-Bertin,http://musmed.eu/source/14220,,12
P-Ln (Lisboa) Biblioteca Nacional de Portugal L.C. 258,P-Ln L.C. 258,15th century (second half),"Lisboa, Monastery of Santa Maria de Belém",https://pemdatabase.eu/source/118049,Secular,15
SK-MO (Modra) Magistrát mesta Modry 2247 K.457 Prozess gegen Martin (Valentin) Weber 1609,SK-MO 2247-457,16th century,Slovakia,https://cantus.sk/source/143,,16
E-PAMan (Pamplona) Partitura n. 189,E-PAMan Partitura n. 189,13th century,,https://musicahispanica.eu/source/127422,,13
F-AS : Ms 1073 (cat. 231),F-AS Ms 1073 (cat. 231),13th century,Nord de la France,http://musmed.eu/source/57900,,13
SK-Bra (Bratislava) EC Lad.1/16,SK-Bra ECLad.1/16,14th century,Slovakia / Hungary,https://cantus.sk/source/10953,,14
SK-Brl (Bratislava) Frag. 6,SK-BRl Frag. 6,13th century,,https://cantus.sk/source/4455,,13
E-PAMan (Pamplona) Partitura n. 190,E-PAMan Partitura n. 190,13th century,,https://musicahispanica.eu/source/127427,,13
E-E : b.IV.17,E-E b.IV.17,12th century,Espagne,http://musmed.eu/source/163685,,12
I-BRq : Ms H.VI.21,I-BRq Ms H.VI.21,11th century,Santa Giulia,http://musmed.eu/source/8983,,11
F-BSM : Ms 0189,F-BSM Ms 0189,11th century,Angleterre,http://musmed.eu/source/24211,,11
E-PAMan (Pamplona) Partitura n. 204,E-PAMan Partitura n. 204,13th century,,https://musicahispanica.eu/source/127491,,13
E-PAMan (Pamplona) Partitura n. 205,E-PAMan Partitura n. 205,13th century,,https://musicahispanica.eu/source/127494,,13
E-PAMan (Pamplona) Partitura n. 200,E-PAMan Partitura n. 200,13th century,,https://musicahispanica.eu/source/127477,,13
E-PAMan (Pamplona) Partitura n. 219,E-PAMan Partitura n. 219,14th century,,https://musicahispanica.eu/source/127659,,14
SK-BRsa Kre Cx XVI,SK-BRsa Cx XVI,15th century,Central Europe,https://cantus.sk/source/13686,,15
F-AI : Ms 0007,F-AI Ms 0007,11th century,Albi Cathédrale Sainte Cécile,http://musmed.eu/source/8447,,11
E-PAMan (Pamplona) partitura n. 04 olim 1/5,E-PAMan partitura n. 4,13th century,,https://musicahispanica.eu/source/94544,,13
"SK-Bra (Bratislava) Štátny archív v Bratislave - EC Lad. 6, Varia Hymnarium",SK-Bra ECLad.6 H,15th century,Bratislava,https://cantus.sk/source/17591,,15
GB-Lbl : Cotton Vespasian D XII,GB-Lbl Cotton Vespasian D XII,11th century,"Angleterre, Canterbury, Christ Church Cathedral (?)",http://musmed.eu/source/98474,,11
F-CHRm : Ms 0110 (58),F-CHRm Ms 0110 (58),10th century,"Chartres, Abbaye Saint-Père",http://musmed.eu/source/9352,,10
SK-Lap (Levoča) Hymnarium MMLE XXII/311,SK-Lap (Levoča) MMLE XXII/311,16th century,Hungary,https://cantus.sk/source/29854,,16
F-Pn (Paris) LAT 2855,F-Pn LAT 2855,10th century,Abadía de Santo Domingo de Silos,https://musicahispanica.eu/source/93251,,10
SK-KRE (Kremnica) Hymnarium Gemainer Stadt 1639,SK-KRE Gemainer Stadt 1639,15th century,OFM,https://cantus.sk/source/32245,,15
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (65),P-Cug MM 1063 (65),15th cent.,,https://pemdatabase.eu/source/100123,,15
E-PAMan (Pamplona) Partitura n. 155,E-PAMan Partitura n. 155,14th century,,https://musicahispanica.eu/source/127062,,14
F-Pn : Lat. 5359,F-Pn Lat. 5359,11th century,Abbaye de Fécamp,http://musmed.eu/source/28428,,11
F-ME : Ms 80,F-ME Ms 80,12th century,Abbaye Saint-Vincent de Metz,http://musmed.eu/source/21615,,12
D-WÜu : M.p.th.f.046,D-WÜu M.p.th.f.046,10th century,Cathédrale Saint-Kilian de Wurtzbourg,http://musmed.eu/source/15337,,10
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 0237 [capa] + MM 0238 [capa],P-Cug MM 0237 [capa] + MM 0238 [capa],16th century (first half),"Coimbra, Mosteiro de Santa Cruz?",https://pemdatabase.eu/source/100564,unknown,16
F-BSM : Ms 0056,F-BSM Ms 0056,10th century,Abbaye Saint Bertin,http://musmed.eu/source/24169,,10
E-PAMan (Pamplona) Partitura n. 185,E-PAMan Partitura n. 185,13th century,,https://musicahispanica.eu/source/127383,,13
SK-Brl (Bratislava) V. teol. 3918,SK-BRl V.teol. 3918,14th century,Central Europe,https://cantus.sk/source/4738,,14
CH-SH : Ms Min 0045,CH-SH Ms Min 0045,11th century,Reichenau?,http://musmed.eu/source/14230,,11
F-O : Ms 085,F-O Ms 085,11th century,Abbaye de Fleury,http://musmed.eu/source/12652,,11
E-SD Frag. Cód. nº 1,E-SD Frag. Cód. nº 1,10th century,"See Description"" above""",https://musicahispanica.eu/source/89495,Monastic,10
F-Pn (Paris) LAT 235,F-Pn LAT 235,11th century,Abadía de Santo Domingo de Silos,https://musicahispanica.eu/source/93171,,11
F-AS : Ms 0127 (cat. 215),F-AS Ms 0127 (cat. 215),12th century,Abbaye saint Vaast d'Arras,http://musmed.eu/source/57331,,12
F-Pn : Lat. 4403B,F-Pn Lat. 4403B,9th century,Luxeuil,http://musmed.eu/source/13151,,9
F-Pn : Lat. 5611,F-Pn Lat. 5611,11th century,Saint-Martial de Limoges,http://musmed.eu/source/28422,,11
D-Mbs : Clm 19417,D-Mbs Clm 19417,9th century,Abbaye bénédictine de Tegernsee,http://musmed.eu/source/12336,,9
F-Pn : Lat. 13169,F-Pn Lat. 13169,10th century,Abbaye Saint-Maur-des-Fossés,http://musmed.eu/source/13411,,10
E-PAMan (Pamplona) Partitura n. 187,E-PAMan Partitura n. 187,13th century,,https://musicahispanica.eu/source/127413,,13
F-Pn : Lat. 5339,F-Pn Lat. 5339,12th century,Carmes de Clermont,http://musmed.eu/source/28144,,12
V-CVbav : Archivio di San Pietro G.34,V-CVbav Archivio di San Pietro G.34,15th century,Italie,http://musmed.eu/source/14751,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0215",CDN-Mrb MS Medieval 0215,16th century,Italy,https://cantusdatabase.org/source/693724,,16
F-Pn (Paris) LAT 2824,F-Pn LAT 2824,11th century,,https://musicahispanica.eu/source/93157,,11
F-Pn : Lat. 8318,F-Pn Lat. 8318,9th century,Val de Loire,http://musmed.eu/source/13254,,9
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (19),P-Cua IV-3ª Gav. 44 (19),15th-16th century,,https://pemdatabase.eu/source/97092,,15
CH-SGs : Cod 95,CH-SGs Cod 95,10th century,St Gallen,http://musmed.eu/source/14267,,10
E-PAMan (Pamplona) Partitura n. 202,E-PAMan Partitura n. 202,13th century,,https://musicahispanica.eu/source/127483,,13
V-CVbav : Reg.lat.1709.pt.A,V-CVbav Reg.lat.1709.pt.A,9th century,"France, Abbaye de Fleury",http://musmed.eu/source/14892,,9
CZ-TPk : Teplá MS.b.09,CZ-TPk Teplá MS.b.09,9th century,Saint-Emmeran (Bavière),http://musmed.eu/source/14498,,9
"SK-BRsa Psalterium Capitulum Posoniensis, Locus credibilis Protoc.Antiqua B",SK-BRsa LC B 1567,15th century,Bratislava,https://cantus.sk/source/13906,,15
F-Pn : Lat. 2826,F-Pn Lat. 2826,9th century,Saint-Martial de Limoges,http://musmed.eu/source/15650,,9
E-Bac (Barcelona) Ripoll 40,E-Bac Ripoll 40,11th century,Monasterio de Santa María de Ripoll (Girona),https://musicahispanica.eu/source/20209,,11
Graduale latino-bohemicum,CZ-Pu VI B 24,16th century,"Bohemia, ecclesia s. Castulli in Praga (?)",https://hymnologica.cz/source/7006,,16
A-KN Fragm. 022 Antiphonarium,A-KN Fragm. 22,15th century,Klosterneuburg,https://austriamanus.org/source/25,,15
F-Pn : Lat. 1253,F-Pn Lat. 1253,11th century,Saint-Martial 75 – Regius 4623.2,http://musmed.eu/source/13083,Monastic,11
E-SI (Santo Domingo de Silos) liturgia monástica de las horas - Maitines,E-SI liturgia monástica de las horas - Maitines,,,https://musicahispanica.eu/source/123107,,
B-Br : Ms 9311-19,B-Br Ms 9311-19,10th century,Saint-Amand,http://musmed.eu/source/46366,,10
D-Mu : 2° Cod. ms. 0156,D-Mu 2° Cod. ms. 0156,14th century,*,http://musmed.eu/source/12443,,14
E-TAp : Ms 0136,E-TAp Ms 0136,14th century,Santes Creus (Tarragona),http://musmed.eu/source/14495,,14
F-Pn : Lat. 4667,F-Pn Lat. 4667,10th century,Moissac – Colbert,http://musmed.eu/source/13155,,10
V-CVbav : Vat. lat. 6082,V-CVbav Vat. lat. 6082,12th century,Montecassino,http://musmed.eu/source/22352,,12
F-Pn : Lat. 5552,F-Pn Lat. 5552,10th century,Saint-Martial de Limoges,http://musmed.eu/source/13180,,10
V-CVbav : Vat. lat. 5749,V-CVbav Vat. lat. 5749,9th century,Nord de l'Italie,http://musmed.eu/source/75227,,9
SK-PREa (Prešov) Graduale 1,SK-PREa (Prešov) Zb. ilum. 6,15th century,Hungary,https://cantus.sk/source/29826,,15
F-ME : Ms 732 (44),F-ME Ms 732 (44),12th century,Est de la France,http://musmed.eu/source/21654,,12
"SK-BRsa Arm. III, Lad. 2, Fasc. 1, Nr. 5",SK-BRsa Palffy III 2 1 5,15th century,Slovakia,https://cantus.sk/source/13699,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0088",CDN-Mrb MS Medieval 0088,15th century,Italy,https://cantusdatabase.org/source/693560,,15
SK-Brl (Bratislava) V. teol. 2349,SK-BRl V.teol. 2349,15th century,Germany,https://cantus.sk/source/4730,,15
"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 48 (Musical Leaf 'Dicit Dominus')",CDN-WAdl MS Medieval 48,16th century,,https://cantusdatabase.org/source/703559,,16
F-Pn : Lat. 4859,F-Pn Lat. 4859,10th century,"Colbertinus, antea Petri Pithoei",http://musmed.eu/source/13158,,10
SK-KE (Kežmarok) Missale 4173,SK-KE (Kežmarok) sign. 4173,14th century,Poland (monastic),https://cantus.sk/source/31664,,14
US-PHf : Lewis E 015,US-PHf Lewis E 015,12th century,Nonantola,http://musmed.eu/source/13673,,12
SK-MO (Modra) Magistrát mesta Modry 4702 Register der Waisenobligationen 1647,SK-MO 4702,15th century,Slovakia,https://cantus.sk/source/177,,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0080",CDN-Mrb MS Medieval 0080,15th century,,https://cantusdatabase.org/source/691953,,15
"PL-Wn 3036 Graduał augustianów z Krakowa, pars de sanctis",PL-Wn Rps 3036 V,16th century,,https://cantusplanus.pl/source/28746,,16
SK-KOs (Košice) Graduale T 2352 PA,T 2352 PA,15th century,Medieval Hungary,https://cantus.sk/source/33048,,15
